equipo_local|equipo_visitante|Division|Temporada|fecha_dt|goles_local|goles_visitante|arbitro|estadio|odd_1|odd_x|odd_2|Informe_Tarjetas
Getafe|Valladolid|1|2019|2019-12-15 12:00:00|2|0|Antonio Mateu|Coliseum Alfonso Pérez|1.66|3.6|6.0|Hubo 03 amarillas para jugadores del equipo local;Hubo 00 rojas a jugadores del equipo local;Hubo 3  tarjetas amarillas de jugadores visitantes;Hubo 0 rojas a jugadores visitantes
Celta Vigo|Mallorca|1|2019|2019-12-15 14:00:00|2|2|Ricardo De Burgos|Abanca-Balaídos|1.7|3.8|5.0|Hubo 00 rojas a jugadores del equipo local;Hubo 5  tarjetas amarillas de jugadores visitantes;Hubo 01 tajetas rojas al equipo visitante;Hubo 03 amarillas para jugadores del equipo local
Espanyol|Real Betis|1|2019|2019-12-15 16:00:00|2|2|Guillermo Cuadra|RCDE Stadium|2.6|3.25|2.8|Hubo 0 rojas a jugadores visitantes;Hubo 01  tarjetas amarillas de jugadores visitantes;Hubo 0 tarjetas rojas sobre el equipo local;Hubo 04 amarillas mostradas al equipo local
Elche|Las Palmas|2|2019|2019-12-15 18:00:00|2|3|Luis Milla|Estadio Manuel Martínez Valero|2.4|2.8|3.1|Hubo 03 amarillas mostradas al equipo local;Hubo 1  tarjetas amarillas de jugadores visitantes;Hubo 00 tajetas rojas al equipo visitante;Hubo 00 rojas a jugadores del equipo local
Sevilla|Villarreal|1|2019|2019-12-15 18:30:00|1|2|Adrián Cordero|Estadio Ramón Sánchez Pizjuán|1.66|4.0|5.0|Hubo 00 rojas a jugadores visitantes;Hubo 00 tarjetas amarillas para el equipo visitantes;Hubo 02 amarillas mostradas al equipo local;Hubo 0 rojas a jugadores del equipo local
Valencia|Real Madrid|1|2019|2019-12-15 21:00:00|1|1|José Sánchez|Estadio de Mestalla|3.8|3.8|1.9|Hubo 2 tarjetas amarillas para el equipo visitantes;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 01 amarillas para jugadores del equipo local;Hubo 0 tajetas rojas al equipo visitante
Mallorca|Sevilla|1|2019|2019-12-21 13:00:00|0|2|Jesús Gil|Iberostar Estadi|5.0|4.0|1.66|Hubo 03 tarjetas amarillas para el equipo visitantes;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 00 tajetas rojas al equipo visitante;Hubo 05 amarillas mostradas al equipo local
Barcelona|Alaves|1|2019|2019-12-21 16:00:00|4|1|Mario Melero|Camp Nou|1.12|9.0|21.0|Hubo 4  tarjetas amarillas de jugadores visitantes;Hubo 00 rojas a jugadores visitantes;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 02 amarillas para jugadores del equipo local
Las Palmas|Rayo Vallecano|2|2019|2019-12-21 18:00:00|1|1|Saúl Ais|Estadio de Gran Canaria|2.37|3.0|3.25|Hubo 03 amarillas para jugadores del equipo local;Hubo 01 tajetas rojas al equipo visitante;Hubo 0 rojas a jugadores del equipo local;Hubo 03 tarjetas amarillas para el equipo visitantes
Villarreal|Getafe|1|2019|2019-12-21 18:30:00|1|0|Santiago Jaime|Estadio de la Cerámica|2.2|3.25|3.5|Hubo 01 tajetas rojas al equipo visitante;Hubo 5 tarjetas amarillas para el equipo visitantes;Hubo 2 amarillas mostradas al equipo local;Hubo 0 tarjetas rojas sobre el equipo local
Valladolid|Valencia|1|2019|2019-12-21 21:00:00|1|1|Valentín Pizarro|Estadio Municipal José Zorrilla|3.5|3.4|2.15|Hubo 0 rojas a jugadores visitantes;Hubo 03 tarjetas amarillas para el equipo visitantes;Hubo 0 tarjetas rojas sobre el equipo local;Hubo 00 amarillas mostradas al equipo local
Cadiz|Numancia|2|2019|2019-12-21 21:00:00|2|4|Rubén Ávalos|Estadio Ramón de Carranza|1.72|3.1|6.0|Hubo 1 tarjetas rojas sobre el equipo local;Hubo 1  tarjetas amarillas de jugadores visitantes;Hubo 05 amarillas mostradas al equipo local;Hubo 0 rojas a jugadores visitantes
Almeria|Ponferradina|2|2019|2019-12-22 12:00:00|2|3|Santiago Varón|Estadio de los Juegos Mediterráneos|1.75|3.4|5.0|Hubo 00 tarjetas rojas sobre el equipo local;Hubo 1 tarjetas amarillas para el equipo visitantes;Hubo 4 amarillas mostradas al equipo local;Hubo 00 tajetas rojas al equipo visitante
Leganes|Espanyol|1|2019|2019-12-22 12:00:00|2|0|Javier Alberola|Estadio Municipal de Butarque|2.1|3.1|3.9|Hubo 6 tarjetas amarillas para el equipo visitantes;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 01 amarillas mostradas al equipo local;Hubo 0 rojas a jugadores visitantes
Osasuna|Real Sociedad|1|2019|2019-12-22 14:00:00|3|4|David Medié|Estadio El Sadar|2.8|3.4|2.5|Hubo 0 tajetas rojas al equipo visitante;Hubo 02 tarjetas amarillas para el equipo visitantes;Hubo 06 amarillas mostradas al equipo local;Hubo 01 rojas a jugadores del equipo local
Huesca|Zaragoza|2|2019|2019-12-22 16:00:00|2|1|Isidro Díaz de Mera|Estadio El Alcoraz|1.8|3.4|4.5|Hubo 2 tajetas rojas al equipo visitante;Hubo 3 amarillas para jugadores del equipo local;Hubo 00 rojas a jugadores del equipo local;Hubo 4 tarjetas amarillas para el equipo visitantes
Real Betis|Atletico Madrid|1|2019|2019-12-22 16:00:00|1|2|Javier Estrada|Estadio Benito Villamarín|3.8|3.3|2.1|Hubo 00 rojas a jugadores del equipo local;Hubo 3  tarjetas amarillas de jugadores visitantes;Hubo 4 amarillas para jugadores del equipo local;Hubo 00 rojas a jugadores visitantes
Alcorcon|Fuenlabrada|2|2019|2019-12-22 18:00:00|1|1|Víctor Areces|Estadio Santo Domingo|2.37|2.9|3.3|Hubo 00 tarjetas rojas sobre el equipo local;Hubo 05 amarillas para jugadores del equipo local;Hubo 0 tajetas rojas al equipo visitante;Hubo 03 tarjetas amarillas para el equipo visitantes
Levante|Celta Vigo|1|2019|2019-12-22 18:30:00|3|1|Eduardo Prieto|Estadio Ciudad de Valencia|2.62|3.4|2.62|Hubo 0 rojas a jugadores del equipo local;Hubo 3 amarillas para jugadores del equipo local;Hubo 6 tarjetas amarillas para el equipo visitantes;Hubo 00 tajetas rojas al equipo visitante
Girona|Mirandes|2|2019|2019-12-22 20:00:00|0|3|Jon González|Estadi Municipal de Montilivi|1.65|3.6|5.75|Hubo 00 rojas a jugadores visitantes;Hubo 01 amarillas mostradas al equipo local;Hubo 0 tarjetas rojas sobre el equipo local;Hubo 2 tarjetas amarillas para el equipo visitantes
Real Madrid|Athletic Club|1|2019|2019-12-22 21:00:00|0|0|Adrián Cordero|Estadio Santiago Bernabéu|1.33|5.25|8.0|Hubo 01 amarillas mostradas al equipo local;Hubo 00 tarjetas amarillas para el equipo visitantes;Hubo 00 rojas a jugadores visitantes;Hubo 00 tarjetas rojas sobre el equipo local
Valencia|Eibar|1|2019|2020-01-04 13:00:00|1|0|Alejandro Hernández|Estadio de Mestalla|1.61|3.9|5.5|Hubo 01 tajetas rojas al equipo visitante;Hubo 3 tarjetas amarillas para el equipo visitantes;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 01 amarillas para jugadores del equipo local
Fuenlabrada|Las Palmas|2|2019|2020-01-04 13:00:00|0|0|Jorge Figueroa|Estadio Fernando Torres|2.15|3.2|3.5|Hubo 05 tarjetas amarillas para el equipo visitantes;Hubo 01 rojas a jugadores del equipo local;Hubo 02 amarillas para jugadores del equipo local;Hubo 00 tajetas rojas al equipo visitante
Getafe|Real Madrid|1|2019|2020-01-04 16:00:00|0|3|José Munuera|Coliseum Alfonso Pérez|4.2|3.6|1.85|Hubo 3 amarillas para jugadores del equipo local;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 00 tajetas rojas al equipo visitante;Hubo 02 tarjetas amarillas para el equipo visitantes
Tenerife|Albacete|2|2019|2020-01-04 18:00:00|4|2|Daniel Ocón|Estadio Heliodoro Rodríguez Lopéz|1.95|3.2|4.2|Hubo 1 amarillas mostradas al equipo local;Hubo 2 tarjetas amarillas para el equipo visitantes;Hubo 0 rojas a jugadores visitantes;Hubo 0 tarjetas rojas sobre el equipo local
Lugo|Almeria|2|2019|2020-01-04 18:00:00|0|4|Aitor Gorostegui|Estadio Anxo Carro|3.2|3.2|2.3|Hubo 02 amarillas mostradas al equipo local;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 00 tajetas rojas al equipo visitante;Hubo 01  tarjetas amarillas de jugadores visitantes
Atletico Madrid|Levante|1|2019|2020-01-04 18:30:00|2|1|Ricardo De Burgos|Estadio Wanda Metropolitano|1.25|5.75|12.0|Hubo 3 tarjetas amarillas para el equipo visitantes;Hubo 0 rojas a jugadores del equipo local;Hubo 1 amarillas mostradas al equipo local;Hubo 00 rojas a jugadores visitantes
Elche|Huesca|2|2019|2020-01-04 20:00:00|1|1|José López|Estadio Manuel Martínez Valero|3.1|3.0|2.45|Hubo 3  tarjetas amarillas de jugadores visitantes;Hubo 0 rojas a jugadores del equipo local;Hubo 0 rojas a jugadores visitantes;Hubo 3 amarillas para jugadores del equipo local
Mirandes|Racing Santander|2|2019|2020-01-04 20:00:00|0|0|Dámaso Arcediano|Estadio Municipal de Anduva|1.75|3.4|5.0|Hubo 1 tarjetas amarillas para el equipo visitantes;Hubo 0 rojas a jugadores visitantes;Hubo 00 rojas a jugadores del equipo local;Hubo 2 amarillas mostradas al equipo local
Espanyol|Barcelona|1|2019|2020-01-04 21:00:00|2|2|Carlos Del Cerro|RCDE Stadium|6.5|4.75|1.45|Hubo 1 tajetas rojas al equipo visitante;Hubo 2  tarjetas amarillas de jugadores visitantes;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 02 amarillas para jugadores del equipo local
Granada CF|Mallorca|1|2019|2020-01-05 12:00:00|1|0|César Soto|Estadio Nuevo Los Cármenes|1.95|3.4|4.2|Hubo 0 tajetas rojas al equipo visitante;Hubo 05 amarillas mostradas al equipo local;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 01  tarjetas amarillas de jugadores visitantes
Real Sociedad|Villarreal|1|2019|2020-01-05 14:00:00|1|2|José Sánchez|Reale Arena|1.85|3.9|3.9|Hubo 00 tajetas rojas al equipo visitante;Hubo 0 rojas a jugadores del equipo local;Hubo 05 amarillas para jugadores del equipo local;Hubo 04  tarjetas amarillas de jugadores visitantes
Alaves|Real Betis|1|2019|2020-01-05 16:00:00|1|1|Antonio Mateu|Estadio de Mendizorroza|2.6|3.25|2.8|Hubo 07 amarillas para jugadores del equipo local;Hubo 3 tarjetas amarillas para el equipo visitantes;Hubo 01 rojas a jugadores visitantes;Hubo 00 rojas a jugadores del equipo local
Rayo Vallecano|Girona|2|2019|2020-01-05 16:00:00|1|0|Luis Milla|Estadio de Vallecas|2.2|3.3|3.25|Hubo 0 tarjetas rojas sobre el equipo local;Hubo 3 amarillas mostradas al equipo local;Hubo 00 rojas a jugadores visitantes;Hubo 03  tarjetas amarillas de jugadores visitantes
Oviedo|Malaga|2|2019|2020-01-05 21:00:00|1|1|Miguel Ortiz|Estadio Nuevo Carlos Tartiere|2.25|3.1|3.4|Hubo 4 amarillas mostradas al equipo local;Hubo 00 rojas a jugadores del equipo local;Hubo 3 tarjetas amarillas para el equipo visitantes;Hubo 00 tajetas rojas al equipo visitante
Celta Vigo|Osasuna|1|2019|2020-01-05 21:00:00|1|1|Guillermo Cuadra|Abanca-Balaídos|2.05|3.4|3.75|Hubo 03 tarjetas amarillas para el equipo visitantes;Hubo 03 amarillas para jugadores del equipo local;Hubo 00 rojas a jugadores visitantes;Hubo 00 rojas a jugadores del equipo local
Levante|Alaves|1|2019|2020-01-18 13:00:00|0|1|Guillermo Cuadra|Estadio Ciudad de Valencia|2.05|3.4|3.75|Hubo 4  tarjetas amarillas de jugadores visitantes;Hubo 2 amarillas mostradas al equipo local;Hubo 00 rojas a jugadores visitantes;Hubo 0 rojas a jugadores del equipo local
Real Madrid|Sevilla|1|2019|2020-01-18 16:00:00|2|1|Juan Martínez|Estadio Santiago Bernabéu|1.6|4.33|5.25|Hubo 1  tarjetas amarillas de jugadores visitantes;Hubo 0 tajetas rojas al equipo visitante;Hubo 3 amarillas mostradas al equipo local;Hubo 0 tarjetas rojas sobre el equipo local
Osasuna|Valladolid|1|2019|2020-01-18 18:30:00|0|0|Javier Alberola|Estadio El Sadar|1.8|3.4|5.0|Hubo 2 tarjetas amarillas para el equipo visitantes;Hubo 02 amarillas para jugadores del equipo local;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 00 tajetas rojas al equipo visitante
Eibar|Atletico Madrid|1|2019|2020-01-18 21:00:00|2|0|Jesús Gil|Estadio Municipal de Ipurúa|5.25|3.3|1.8|Hubo 0 tajetas rojas al equipo visitante;Hubo 01 amarillas para jugadores del equipo local;Hubo 00 rojas a jugadores del equipo local;Hubo 02 tarjetas amarillas para el equipo visitantes
Elche|Alcorcon|2|2019|2020-01-19 12:00:00|1|1|Juan Pulido|Estadio Manuel Martínez Valero|2.05|3.1|4.0|Hubo 2 amarillas mostradas al equipo local;Hubo 01 rojas a jugadores visitantes;Hubo 03 tarjetas amarillas para el equipo visitantes;Hubo 0 tarjetas rojas sobre el equipo local
Mallorca|Valencia|1|2019|2020-01-19 12:00:00|4|1|Mario Melero|Iberostar Estadi|3.75|3.4|2.05|Hubo 4 amarillas mostradas al equipo local;Hubo 04  tarjetas amarillas de jugadores visitantes;Hubo 1 rojas a jugadores visitantes;Hubo 00 rojas a jugadores del equipo local
Real Betis|Real Sociedad|1|2019|2020-01-19 14:00:00|3|0|Adrián Cordero|Estadio Benito Villamarín|2.5|3.4|2.8|Hubo 01  tarjetas amarillas de jugadores visitantes;Hubo 00 rojas a jugadores visitantes;Hubo 3 amarillas mostradas al equipo local;Hubo 0 tarjetas rojas sobre el equipo local
Deportivo La Coruna|Cadiz|2|2019|2020-01-19 16:00:00|1|0|Aitor Gorostegui|Estadio Abanca-Riazor|2.5|2.87|3.2|Hubo 02 amarillas para jugadores del equipo local;Hubo 00 rojas a jugadores del equipo local;Hubo 0 rojas a jugadores visitantes;Hubo 3  tarjetas amarillas de jugadores visitantes
Villarreal|Espanyol|1|2019|2020-01-19 16:00:00|1|2|Pablo González|Estadio de la Cerámica|1.65|3.8|5.75|Hubo 04  tarjetas amarillas de jugadores visitantes;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 01 amarillas para jugadores del equipo local;Hubo 01 tajetas rojas al equipo visitante
Oviedo|Huesca|2|2019|2020-01-19 18:15:00|1|1|Isidro Díaz de Mera|Estadio Nuevo Carlos Tartiere|2.75|2.87|2.87|Hubo 00 tajetas rojas al equipo visitante;Hubo 0 rojas a jugadores del equipo local;Hubo 3 tarjetas amarillas para el equipo visitantes;Hubo 3 amarillas para jugadores del equipo local
Racing Santander|Las Palmas|2|2019|2020-01-19 18:15:00|1|1|Javier Iglesias|Campos de Sport de El Sardinero|2.7|2.87|2.9|Hubo 3 amarillas mostradas al equipo local;Hubo 00 rojas a jugadores visitantes;Hubo 00 tarjetas amarillas para el equipo visitantes;Hubo 00 tarjetas rojas sobre el equipo local
Athletic Club|Celta Vigo|1|2019|2020-01-19 18:30:00|1|1|David Medié|San Mamés Barria|1.95|3.25|4.5|Hubo 0 tajetas rojas al equipo visitante;Hubo 03 tarjetas amarillas para el equipo visitantes;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 04 amarillas mostradas al equipo local
Tenerife|Girona|2|2019|2020-01-19 20:30:00|1|0|Jorge Figueroa|Estadio Heliodoro Rodríguez Lopéz|2.5|3.0|3.0|Hubo 00 tarjetas rojas sobre el equipo local;Hubo 0 tajetas rojas al equipo visitante;Hubo 1  tarjetas amarillas de jugadores visitantes;Hubo 4 amarillas para jugadores del equipo local
Extremadura|Almeria|2|2019|2020-01-19 20:30:00|1|2|Miguel Ortiz|Estadio Francisco de la Hera|3.1|2.9|2.5|Hubo 4 tarjetas amarillas para el equipo visitantes;Hubo 0 rojas a jugadores visitantes;Hubo 0 rojas a jugadores del equipo local;Hubo 2 amarillas para jugadores del equipo local
Barcelona|Granada CF|1|2019|2020-01-19 21:00:00|1|0|Valentín Pizarro|Camp Nou|1.16|7.5|17.0|Hubo 4 tarjetas amarillas para el equipo visitantes;Hubo 0 amarillas mostradas al equipo local;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 01 rojas a jugadores visitantes
Espanyol|Athletic Club|1|2019|2020-01-25 13:00:00|1|1|José Sánchez|RCDE Stadium|2.5|2.9|3.25|Hubo 00 tarjetas rojas sobre el equipo local;Hubo 1 tarjetas amarillas para el equipo visitantes;Hubo 3 amarillas para jugadores del equipo local;Hubo 00 rojas a jugadores visitantes
Valencia|Barcelona|1|2019|2020-01-25 16:00:00|2|0|Jesús Gil|Estadio de Mestalla|5.0|4.33|1.61|Hubo 00 tajetas rojas al equipo visitante;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 01 amarillas para jugadores del equipo local;Hubo 3 tarjetas amarillas para el equipo visitantes
Sporting Gijon|Fuenlabrada|2|2019|2020-01-25 16:00:00|1|0|Iosu Galech|Estadio Municipal El Molinón|2.1|2.9|4.2|Hubo 04 amarillas para jugadores del equipo local;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 00 tajetas rojas al equipo visitante;Hubo 02  tarjetas amarillas de jugadores visitantes
Las Palmas|Tenerife|2|2019|2020-01-25 18:15:00|0|0|José López|Estadio de Gran Canaria|2.0|3.2|4.0|Hubo 04 tarjetas amarillas para el equipo visitantes;Hubo 0 tarjetas rojas sobre el equipo local;Hubo 01 rojas a jugadores visitantes;Hubo 3 amarillas mostradas al equipo local
Alaves|Villarreal|1|2019|2020-01-25 18:30:00|1|2|José Munuera|Estadio de Mendizorroza|2.8|3.25|2.55|Hubo 00 rojas a jugadores visitantes;Hubo 0 rojas a jugadores del equipo local;Hubo 1 tarjetas amarillas para el equipo visitantes;Hubo 2 amarillas mostradas al equipo local
Sevilla|Granada CF|1|2019|2020-01-25 21:00:00|2|0|Alejandro Hernández|Estadio Ramón Sánchez Pizjuán|1.36|4.75|9.5|Hubo 01  tarjetas amarillas de jugadores visitantes;Hubo 04 amarillas mostradas al equipo local;Hubo 00 rojas a jugadores del equipo local;Hubo 0 rojas a jugadores visitantes
Zaragoza|Numancia|2|2019|2020-01-25 21:00:00|1|0|Daniel Trujillo|Estadio de la Romareda|1.66|3.6|5.5|Hubo 00 tarjetas rojas sobre el equipo local;Hubo 1 tarjetas amarillas para el equipo visitantes;Hubo 0 tajetas rojas al equipo visitante;Hubo 4 amarillas para jugadores del equipo local
Malaga|Mirandes|2|2019|2020-01-26 12:00:00|2|2|Santiago Varón|Estadio La Rosaleda|1.95|3.3|4.0|Hubo 2 amarillas mostradas al equipo local;Hubo 00 rojas a jugadores del equipo local;Hubo 02 tarjetas amarillas para el equipo visitantes;Hubo 0 rojas a jugadores visitantes
Atletico Madrid|Leganes|1|2019|2020-01-26 12:00:00|0|0|Antonio Mateu|Estadio Wanda Metropolitano|1.44|4.0|9.0|Hubo 06 tarjetas amarillas para el equipo visitantes;Hubo 1 amarillas para jugadores del equipo local;Hubo 00 rojas a jugadores del equipo local;Hubo 01 rojas a jugadores visitantes
Celta Vigo|Eibar|1|2019|2020-01-26 14:00:00|0|0|José González|Abanca-Balaídos|2.0|3.4|3.8|Hubo 00 amarillas mostradas al equipo local;Hubo 0 rojas a jugadores del equipo local;Hubo 00 tajetas rojas al equipo visitante;Hubo 00  tarjetas amarillas de jugadores visitantes
Getafe|Real Betis|1|2019|2020-01-26 16:00:00|1|0|Eduardo Prieto|Coliseum Alfonso Pérez|2.05|3.3|3.8|Hubo 0 rojas a jugadores del equipo local;Hubo 02 amarillas para jugadores del equipo local;Hubo 05  tarjetas amarillas de jugadores visitantes;Hubo 01 tajetas rojas al equipo visitante
Almeria|Elche|2|2019|2020-01-26 16:00:00|0|2|Alejandro Muñiz|Estadio de los Juegos Mediterráneos|1.8|3.25|5.0|Hubo 5 tarjetas amarillas para el equipo visitantes;Hubo 1 rojas a jugadores del equipo local;Hubo 00 tajetas rojas al equipo visitante;Hubo 04 amarillas mostradas al equipo local
Alcorcon|Ponferradina|2|2019|2020-01-26 18:15:00|3|1|Jon González|Estadio Santo Domingo|2.25|2.9|3.6|Hubo 03  tarjetas amarillas de jugadores visitantes;Hubo 00 rojas a jugadores del equipo local;Hubo 00 rojas a jugadores visitantes;Hubo 02 amarillas para jugadores del equipo local
Real Sociedad|Mallorca|1|2019|2020-01-26 18:30:00|3|0|Santiago Jaime|Reale Arena|1.45|4.33|7.5|Hubo 00 rojas a jugadores del equipo local;Hubo 00 tajetas rojas al equipo visitante;Hubo 00 amarillas mostradas al equipo local;Hubo 2  tarjetas amarillas de jugadores visitantes
Valladolid|Real Madrid|1|2019|2020-01-26 21:00:00|0|1|Ricardo De Burgos|Estadio Municipal José Zorrilla|7.5|4.5|1.44|Hubo 3 tarjetas amarillas para el equipo visitantes;Hubo 0 tarjetas rojas sobre el equipo local;Hubo 1 amarillas mostradas al equipo local;Hubo 00 tajetas rojas al equipo visitante
Granada CF|Espanyol|1|2019|2020-02-01 13:00:00|2|1|Guillermo Cuadra|Estadio Nuevo Los Cármenes|2.7|3.1|2.8|Hubo 00 rojas a jugadores del equipo local;Hubo 03 amarillas para jugadores del equipo local;Hubo 00 tajetas rojas al equipo visitante;Hubo 3 tarjetas amarillas para el equipo visitantes
Real Madrid|Atletico Madrid|1|2019|2020-02-01 16:00:00|1|0|Javier Estrada|Estadio Santiago Bernabéu|1.8|3.5|4.75|Hubo 2 amarillas para jugadores del equipo local;Hubo 02  tarjetas amarillas de jugadores visitantes;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 0 rojas a jugadores visitantes
Ponferradina|Huesca|2|2019|2020-02-01 18:15:00|3|1|Alejandro Muñiz|Estadio El Toralín|2.9|3.0|2.6|Hubo 2 amarillas mostradas al equipo local;Hubo 0 tarjetas rojas sobre el equipo local;Hubo 0 rojas a jugadores visitantes;Hubo 05  tarjetas amarillas de jugadores visitantes
Mallorca|Valladolid|1|2019|2020-02-01 18:30:00|0|1|David Medié|Iberostar Estadi|2.25|3.25|3.4|Hubo 04 amarillas mostradas al equipo local;Hubo 1  tarjetas amarillas de jugadores visitantes;Hubo 00 rojas a jugadores del equipo local;Hubo 0 tajetas rojas al equipo visitante
Valencia|Celta Vigo|1|2019|2020-02-01 21:00:00|1|0|Pablo González|Estadio de Mestalla|1.8|3.6|4.5|Hubo 00 tajetas rojas al equipo visitante;Hubo 03 tarjetas amarillas para el equipo visitantes;Hubo 00 rojas a jugadores del equipo local;Hubo 06 amarillas para jugadores del equipo local
Elche|Malaga|2|2019|2020-02-01 21:00:00|2|0|Gorka Sagues|Estadio Manuel Martínez Valero|2.25|2.9|3.6|Hubo 2 amarillas para jugadores del equipo local;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 02 tarjetas amarillas para el equipo visitantes;Hubo 0 rojas a jugadores visitantes
Fuenlabrada|Girona|2|2019|2020-02-02 12:00:00|0|1|Isidro Díaz de Mera|Estadio Fernando Torres|2.5|3.0|3.0|Hubo 0 rojas a jugadores visitantes;Hubo 04 amarillas para jugadores del equipo local;Hubo 05  tarjetas amarillas de jugadores visitantes;Hubo 01 rojas a jugadores del equipo local
Leganes|Real Sociedad|1|2019|2020-02-02 12:00:00|2|1|Mario Melero|Estadio Municipal de Butarque|2.9|3.1|2.6|Hubo 0 rojas a jugadores del equipo local;Hubo 04 amarillas mostradas al equipo local;Hubo 3  tarjetas amarillas de jugadores visitantes;Hubo 0 tajetas rojas al equipo visitante
Eibar|Real Betis|1|2019|2020-02-02 14:00:00|1|1|Juan Martínez|Estadio Municipal de Ipurúa|2.5|3.4|2.8|Hubo 02  tarjetas amarillas de jugadores visitantes;Hubo 02 amarillas mostradas al equipo local;Hubo 0 tarjetas rojas sobre el equipo local;Hubo 0 tajetas rojas al equipo visitante
Cadiz|Zaragoza|2|2019|2020-02-02 16:00:00|1|1|Miguel Ortiz|Estadio Ramón de Carranza|2.15|3.2|3.5|Hubo 3 amarillas mostradas al equipo local;Hubo 02  tarjetas amarillas de jugadores visitantes;Hubo 00 rojas a jugadores visitantes;Hubo 00 rojas a jugadores del equipo local
Athletic Club|Getafe|1|2019|2020-02-02 16:00:00|0|2|Javier Alberola|San Mamés Barria|2.55|2.8|3.3|Hubo 05  tarjetas amarillas de jugadores visitantes;Hubo 02 amarillas mostradas al equipo local;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 0 tajetas rojas al equipo visitante
Sevilla|Alaves|1|2019|2020-02-02 18:30:00|1|1|Carlos Del Cerro|Estadio Ramón Sánchez Pizjuán|1.36|5.0|8.5|Hubo 0 tarjetas rojas sobre el equipo local;Hubo 01  tarjetas amarillas de jugadores visitantes;Hubo 2 amarillas mostradas al equipo local;Hubo 00 rojas a jugadores visitantes
Oviedo|Albacete|2|2019|2020-02-02 20:30:00|3|1|Aitor Gorostegui|Estadio Nuevo Carlos Tartiere|2.1|3.1|3.75|Hubo 0 rojas a jugadores del equipo local;Hubo 00 rojas a jugadores visitantes;Hubo 03  tarjetas amarillas de jugadores visitantes;Hubo 05 amarillas mostradas al equipo local
Racing Santander|Alcorcon|2|2019|2020-02-02 20:30:00|1|1|Jorge Figueroa|Campos de Sport de El Sardinero|2.5|2.8|3.0|Hubo 3 tarjetas amarillas para el equipo visitantes;Hubo 01 amarillas para jugadores del equipo local;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 01 rojas a jugadores visitantes
Barcelona|Levante|1|2019|2020-02-02 21:00:00|2|1|Adrián Cordero|Camp Nou|1.14|9.0|15.0|Hubo 0 tarjetas amarillas para el equipo visitantes;Hubo 2 amarillas mostradas al equipo local;Hubo 0 tajetas rojas al equipo visitante;Hubo 0 tarjetas rojas sobre el equipo local
Levante|Leganes|1|2019|2020-02-08 13:00:00|2|0|José González|Estadio Ciudad de Valencia|2.5|3.25|2.87|Hubo 0 tarjetas rojas sobre el equipo local;Hubo 00 tajetas rojas al equipo visitante;Hubo 02 amarillas para jugadores del equipo local;Hubo 3 tarjetas amarillas para el equipo visitantes
Getafe|Valencia|1|2019|2020-02-08 16:00:00|3|0|Ricardo De Burgos|Coliseum Alfonso Pérez|2.0|3.3|4.0|Hubo 4 amarillas para jugadores del equipo local;Hubo 0 tarjetas rojas sobre el equipo local;Hubo 01 rojas a jugadores visitantes;Hubo 4 tarjetas amarillas para el equipo visitantes
Las Palmas|Cadiz|2|2019|2020-02-08 18:15:00|1|2|Santiago Varón|Estadio de Gran Canaria|2.55|2.87|3.1|Hubo 00 tarjetas rojas sobre el equipo local;Hubo 2 amarillas para jugadores del equipo local;Hubo 1 tarjetas amarillas para el equipo visitantes;Hubo 00 rojas a jugadores visitantes
Valladolid|Villarreal|1|2019|2020-02-08 18:30:00|1|1|Alejandro Hernández|Estadio Municipal José Zorrilla|3.0|3.2|2.45|Hubo 3 tarjetas amarillas para el equipo visitantes;Hubo 0 rojas a jugadores del equipo local;Hubo 03 amarillas mostradas al equipo local;Hubo 0 tajetas rojas al equipo visitante
Atletico Madrid|Granada CF|1|2019|2020-02-08 21:00:00|1|0|César Soto|Estadio Wanda Metropolitano|1.4|4.2|10.0|Hubo 4 amarillas para jugadores del equipo local;Hubo 0 tarjetas rojas sobre el equipo local;Hubo 00 rojas a jugadores visitantes;Hubo 6  tarjetas amarillas de jugadores visitantes
Zaragoza|Fuenlabrada|2|2019|2020-02-08 21:00:00|0|0|Rubén Ávalos|Estadio de la Romareda|1.72|3.25|5.75|Hubo 03 amarillas mostradas al equipo local;Hubo 00 rojas a jugadores visitantes;Hubo 03 tarjetas amarillas para el equipo visitantes;Hubo 00 rojas a jugadores del equipo local
